track_id,first_letter,track,artist_id,artist,track_number,track_uri
3ydweVPwq9PCEVJ8WwqT6u,L,Loco (Tu Forma De Ser),3HrbmsYpKjWH1lzhad7alj,Los Auténticos Decadentes,11,spotify:track:3ydweVPwq9PCEVJ8WwqT6u
7dITAq1YP5e0kTcaDq4YWI,L,Limón y Sal,2QWIScpFDNxmS6ZEMIUvgm,Julieta Venegas,4,spotify:track:7dITAq1YP5e0kTcaDq4YWI
6tu2FHuKL9C8pwNrityweQ,T,Te quiero,60uh2KYYSCqAgJNxcU4DA0,Hombres G,4,spotify:track:6tu2FHuKL9C8pwNrityweQ
7DhYjNLksXZhbRQeheAums,C,Caraluna,1mux8L6xg2Cmrc7k0wQczl,Bacilos,2,spotify:track:7DhYjNLksXZhbRQeheAums
4Ol6lxivp7pR7voovl8vKI,P,Perfecta - Versión con Julieta Venegas,2eEmsgWmUFMbtU7agJpnjY,Miranda!,3,spotify:track:4Ol6lxivp7pR7voovl8vKI
74KqkyHbpneHF6JT8EwUOO,N,No Te Apartes de Mí,25THA9HUHoxpCT4LBp7UsZ,Vicentico,2,spotify:track:74KqkyHbpneHF6JT8EwUOO
48svUiwMMYQRPyesVEnof1,T,Tabaco Y Chanel,1mux8L6xg2Cmrc7k0wQczl,Bacilos,2,spotify:track:48svUiwMMYQRPyesVEnof1
6IeJcGYibtUKl9QnAupnYi,S,Si no te tengo a ti,60uh2KYYSCqAgJNxcU4DA0,Hombres G,7,spotify:track:6IeJcGYibtUKl9QnAupnYi
6rzhdwFEhVtDnwJ5ng5uPA,I,"It's Been A Long, Long Time",0e6M2o3phnpbgFmrhry2qx,"Harry James and His Orchestra, Vocals by Kitty Kallen",4,spotify:track:6rzhdwFEhVtDnwJ5ng5uPA
1K3LRUEcUz5FMtPYyg0F45,H,Ho Hey,16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,5,spotify:track:1K3LRUEcUz5FMtPYyg0F45
0tZkVZ9DeAa0MNK2gY5NtV,B,Baby I'm Yours,0iui2Be5CP8EWxvHYsVspL,Breakbot,10,spotify:track:0tZkVZ9DeAa0MNK2gY5NtV
7lFcRLIrpzjPd2Ytp13Ml3,C,Chachachá - acústico,1LMyTeRhjaitILs98h3MaF,Jósean Log,1,spotify:track:7lFcRLIrpzjPd2Ytp13Ml3
29OzJTIOTjCgR7fLyEXY7u,S,Sabor a Chocolate,5oYHL2SijkMY52gKIhYJNb,Elefante,12,spotify:track:29OzJTIOTjCgR7fLyEXY7u
1RIhd7jjWDQwSKsbxxGArN,O,Ojos Color Sol (feat. Silvio Rodríguez),0yNSzH5nZmHzeE2xn6Xshb,Calle 13,5,spotify:track:1RIhd7jjWDQwSKsbxxGArN
3OIoy3TNU7CL5PTaHOGmbR,E,Espacio sideral,1mX1TWKpNxDSAH16LgDfiR,Jesse & Joy,3,spotify:track:3OIoy3TNU7CL5PTaHOGmbR
30BMHqJ4Whqo1HFgzs07lh,R,Rondando Tu Esquina,1witCnGR6UClj9TL7qLNxG,Daniel Paez,7,spotify:track:30BMHqJ4Whqo1HFgzs07lh
13ZRVSoA9lHGXXHDC5w4gF,Q,Que Nadie Sepa Mi Sufrir,6HqPNOo6OV9rPbEY7MP9T8,Julio Jaramillo,10,spotify:track:13ZRVSoA9lHGXXHDC5w4gF
